symbolObject
AFKS
AFLT
ALRS
ASTR
BSPB
CBOM
CHMF
ENPG
FEES
FLOT
GAZP
GMKN
HEAD
HYDR
IRAO
LKOH
MAGN
MDMGIAO
MOEX
MSNG
MTSS
NLMK
NVTK
PHOR
PIKK
PLZL
POSI
RENI
ROSN
RTKM
RUAL
SBER
SBERP
SNGS
SNGSP
SVCB
T
TATN
TATNP
TRNFP
UGLD
UPRO
MKPAOVK
VTBR
YDEX
