symbolObject
LKOH
NVTK
VTBR
SBER
SBERP
HYDR
MOEX
CHMF
FEES
GAZP
GMKN
ROSN
SNGS
TRNFP
MAGN
MTSS
NLMK
SNGSP
TATN
TATNP
AFKS
IRAO
AFLT
MGNT
MVID
PIKK
RTKM
RUAL
SMLT
YDEX
X5
