symbolObject
AFKS
AFLT
AKRN
ALRS
APTK
AQUA
ASTR
BANEP
BSPB
CBOM
CHMF
CNRU
DATA
DELI
DIAS
ELFV
ENPG
EUTR
FEES
FESH
FLOT
GAZP
GMKN
HEAD
HNFG
HYDR
IRAO
KZOS
LEAS
LENT
LKOH
LSNGP
LSRG
MAGN
MBNK
MDDG
MDMGIAO
MGNT
MGTSP
MOEX
MRKC
MRKP
MRKU
MRKV
MSNG
MSRS
MTSS
MVID
NKHP
NKNCP
NKNC
NLMK
NMTP
NVTK
OGKB
OZPH
PHOR
PIKK
PLZL
POSI
PRMD
RAGR
RASP
RENI
RNFT
ROSN
RTKM
RTKMP
RUAL
SBER
SBERP
SELG
SFIN
SGZH
SMLT
SNGS
SNGSP
SOFL
SPBE
SVAV
SVCB
T
TATN
TATNP
TGKA
TRMK
TRNFP
UGLD
UPRO
UWGN
MKPAOVK
VSEH
VSMO
VTBR
WUSH
X5
YDEX
