symbolObject
SBERF
GAZPF
IMOEXF
USDRUBF
CNYRUBF
EURRUBF
GLDRUBF
SiM6
EuM6
RIM6
GDM6
SVM6
PDM6
PTM6
CEM6
ANM6
NCM6
SAK6
CCJ6
KCJ6
OJK6
