symbolObject
T
SPBE
MSNG
PHOR
PLZL
ALRS
SOFL
ELMT
HEAD
GTRK
SVCB
POSI
UPRO
WUSH
SVAV
ASTR
FLOT
MOEX
LEAS
MTLR
ENPG
FIXR
