symbolObject
HYDR
T
SPBE
MSNG
MKPAOVK
PHOR
VTBR
SNGS
IRAO
NVTK
CBOM
NLMK
SBER
PLZL
LKOH
AFKS
RTKM
MGNT
GMKN
FEES
ALRS
SBERP
TATNP
TATN
SOFL
SNGSP
MAGN
CHMF
ELFV
MTSS
NMTP
TRNFP
GAZP
ELMT
YDEX
HEAD
CNTLP
URKZ
NSVZ
RGSS
BRZL
WTCMP
PMSBP
NAUK
KUZB
DZRDP
NKSH
JNOSP
ARSA
LNZL
KUAZ
IGST
HIMCP
RZSB
YAKG
LIFE
KROT
MRKY
PMSB
TGKB
OMZZP
KMEZ
STSB
LNZLP
KUAZP
GTRK
TTLK
KLVZ
CNTL
KROTP
DZRD
KRSB
RODB
KRSBP
ASSB
VGSBP
UNKL
MFGSP
KZOS
JNOS
MGKL
VGSB
KCHE
TORSP
NKNCP
DVEC
PRFN
MAGE
UNAC02
PRMB
NFAZ
STSBP
KLSB
UKUZ
URSB
NKNC
KCHEP
CARM
TORS
KRKOP
RBCM
KZOSP
IGSTP
AVAN
MRSB
MFGS
SLEN
TGKBP
CHMK
MAGEP
BISVP
TUZA
RUSI
LSNG
MRKK
WTCM
SVCB
BSPB
OGKB
POSI
TGKN
UGLD
ISKJ
WUSH
SVAV
MRKZ
MRKV
UPRO
SMLT
SYNG
MRKP
MRKC
MVID
ASTR
TGKA
AKMM
FLOT
SGZH
MOEX
AFLT
ROSN
X5
LEAS
SELG
MTLR
ENPG
RUAL
PIKK
MTLRP
BSPBP
MGTSP
VSMO
AKRN
Genco
BLNG
VSBC
UWGN
SVETP
LPES
EELT
SVET
FIXR
