symbolObject
IMOEX
RTS
RGBI
RVI
IMOEX2
MOEXTN
SPX
IXIC
DJI
IGOLD
MOEXOG
MOEXTL
MOEXFN
MOEXMM
MOEXCH
MICEXINNOV
MOEXEU
MOEXCN
MOEXRE
RUABITR
RUCBTRNS
RUMBTRNS
MOEXBTC
MIPO
